,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200322,2019-10,15917,11.0,1.0,,20.66,74803.0,0.073247,72671.0
4200323,2019-10,15918,44.0,1.0,,9.81,1933.0,0.005629,8623.0
4200324,2019-10,15919,73.0,4.0,,105.375,1177.0,0.055587,550.0
4200325,2019-10,15920,12.0,1.0,,19.51,261475.0,-0.048293,194494.0
4200326,2019-10,15921,11.0,1.0,,18.96,269778.0,0.124555,141058.0
4200327,2019-10,15922,73.0,5.0,,25.245,511.0,0.007582999999999999,1050.0
4200328,2019-10,15927,73.0,4.0,,18.1853,873.0,-0.013743,1969.0
4200329,2019-10,15928,73.0,4.0,,,1089.0,,1250.0
4200330,2019-10,15929,12.0,1.0,,28.87,54478.0,0.20542800000000006,81700.0
4200331,2019-10,15930,73.0,4.0,,28.3,3929.0,0.024249,7550.0
4200332,2019-10,15936,31.0,3.0,,138.34,58601.0,0.129675,40460.0
4200333,2019-10,15937,11.0,3.0,,20.84,115735.0,-0.083553,51076.0
4200334,2019-10,15943,11.0,3.0,,0.28,52626.0,0.08569199999999999,34544.0
4200335,2019-10,15945,73.0,3.0,,44.0945,2514.0,0.007414,2202.0
4200336,2019-10,15946,73.0,3.0,,43.053999999999995,1809.0,0.024893,802.0
